model,year,color,milage,rate,brand,campus,CarType
Grand Caravan,2006,blue,17000,15.6,Dodge,Downtown Vancouver,Van
Model 3,2022,white,12000,22.5,Tesla,Downtown Vancouver,Sedan
Leaf,2020,grey,18000,18.0,Nissan,Richmond,Hatchback
Model Y,2023,black,5000,24.0,Tesla,Burnaby,SUV
Bolt EV,2021,blue,22000,19.3,Chevrolet,Delta,Hatchback
Kona Electric,2022,red,14000,20.1,Hyundai,North Vancouver,SUV
ID.4,2023,silver,8000,23.0,Volkswagen,Downtown Vancouver,SUV
Polestar 2,2022,green,11000,21.8,Polestar,Richmond,Sedan
Ioniq 5,2023,white,9000,22.2,Hyundai,Burnaby,Hatchback
Model S,2021,black,25000,25.0,Tesla,North Vancouver,Sedan
e-tron,2020,blue,30000,20.5,Audi,Delta,SUV
Civic,2018,red,45000,12.5,Honda,Burnaby,Sedan
Rav4,2020,white,30000,18.0,Toyota,Richmond,SUV
F-150,2019,blue,60000,16.2,Ford,Delta,Truck
Accord,2017,silver,70000,13.1,Honda,North Vancouver,Sedan
CX-5,2021,grey,25000,17.8,Mazda,Richmond,SUV
Grand Caravan,2016,blue,85000,11.7,Dodge,Burnaby,Van
Camry,2018,white,40000,14.2,Toyota,Downtown Vancouver,Sedan
Escape,2020,red,35000,16.9,Ford,Delta,SUV
Yaris,2015,green,90000,10.5,Toyota,North Vancouver,Hatchback
Corolla,2019,black,50000,13.9,Toyota,Richmond,Sedan
Sonata,2007,midnight,173000,12.8,Hyundai,Downtown Vancouver,Sedan
6, 2009, obergyn, 205000, 300, Mazda, Downtown Vancouver, Sedan